method,regime,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median
tabular_q_pooled,normal,300,0.48008132147495475,0.4752138160795568,0.4849488268703527,0.47788427141452566,2309.924618559963,2227.836669562011,2392.012567557915,2271.0476448867985,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,5.66761599655697,4.921433964622172,6.413798028491768,3.353547605052956
dqn,congested,300,0.4937366392365556,0.4867317437739655,0.5007415346991456,0.488427488678262,3311.55624622031,3189.0772522613593,3434.035240179261,3287.8442347811942,257.7061895249536,242.97662495289944,272.4357540970077,227.45548919695585,22.57428082076827,21.44540377081944,23.7031578707171,21.226612257861056,0.5333333333333333,0.4700812080602843,0.5965854586063823,1.0,0.8705972172430176,0.7000241532840229,1.0411702812020125,0.024653695556891897
dqn,dynamic,300,0.4649327580640369,0.45880978064530414,0.47105573548276963,0.46391911449455203,2790.03677401301,2672.184267575214,2907.889280450806,2683.118114182147,126.48913420313343,115.68242113924903,137.29584726701782,99.5171047732059,24.492136903399867,23.223376135878524,25.76089767092121,22.0494700886436,0.6166666666666667,0.5397816858230416,0.6935516475102917,1.0,0.29774103383281,0.20961450103384638,0.3858675666317736,0.0
dqn,normal,300,0.4564268806278253,0.4508327767480734,0.4620209845075772,0.4568973674782698,2562.4382844902866,2457.251229547624,2667.625339432949,2555.382682064602,90.92008933902021,85.87062751087953,95.96955116716089,83.54196293291415,25.453811468153418,24.13974973905223,26.767873197254605,23.262743480066106,0.6433333333333333,0.5631713748196595,0.7234952918470071,1.0,0.07633854056353769,0.04948710915200304,0.10318997197507232,0.0
dqn_dynamic,congested,300,0.4897654817176192,0.4830514447778076,0.4964795186574308,0.4864801066519533,2913.348090933942,2799.741810505514,3026.95437136237,2891.743265027662,269.5509570437661,254.37843037505888,284.72348371247335,241.52112158453926,24.597507894091557,23.314941543777675,25.88007424440544,22.574919005959252,0.5133333333333333,0.4513638050286261,0.5753028616380406,0.0,0.09919909124220576,0.06633248842229916,0.13206569406211235,0.0
dqn_dynamic,dynamic,300,0.4640690271784852,0.458048093216411,0.4700899611405594,0.4618550709159812,2681.338321398863,2569.5745366564656,2793.1021061412607,2630.956317055027,131.34530629561038,119.87660040927194,142.8140121819488,103.26106170978692,25.06099023660193,23.738003954408462,26.3839765187954,22.435345195477993,0.63,0.5463863831983601,0.7136136168016399,0.5,0.12668643824870526,0.09534109605024407,0.15803178044716645,0.0
dqn_dynamic,normal,300,0.4566710111560472,0.4510520511089908,0.46228997120310356,0.45741149670915265,2579.955090454111,2470.560648247571,2689.349532660651,2569.6914006501065,93.49031698128846,88.31823985932893,98.66239410324799,85.5654454715553,25.378746143834118,24.052248010353782,26.705244277314453,22.484891255597415,0.7266666666666667,0.6315415555510038,0.8217917777823296,1.0,0.1249891949209398,0.09671613448470269,0.15326225535717689,0.0
dp_relaxed,congested,300,0.505465528141944,0.4968038290775584,0.5141272272063296,0.49403218151205264,3858.7573130408246,3638.894605749836,4078.620020331813,3600.211600362361,252.792651567128,237.712761647261,267.872541486995,223.73689220152403,20.44652488965398,19.44940872693489,21.443641052373067,18.71145788013681,0.05,0.02519605361238706,0.07480394638761295,0.0,3.0643644974999655,2.429526424883576,3.699202570116355,0.0
dp_relaxed,dynamic,300,0.48054548580460515,0.47237612754223535,0.48871484406697496,0.4718074719006673,3669.8767084695405,3448.040923711993,3891.712493227088,3426.815553839115,117.41772440468213,106.48488307176616,128.35056573759812,88.70773938548466,20.666446521739754,19.6421378676889,21.69075517579061,18.79181927271344,0.043333333333333335,0.01836745692129005,0.06829920974537662,0.0,3.4071714872660137,2.7184952700887437,4.095847704443284,0.08804557450029865
dp_relaxed,normal,300,0.4726338011256317,0.4649231200500866,0.48034448220117676,0.4658305877749756,3572.9295759588726,3352.254653669264,3793.6044982484814,3329.360331292777,82.07241448600098,77.1769361878447,86.96789278415726,72.68135719053558,20.882859248674162,19.832221272523697,21.933497224824627,19.207125561172674,0.05,0.021929846587845046,0.07807015341215495,0.0,3.365505913699247,2.6877052334909677,4.043306593907527,0.1071468136405069
