method,num_layers,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,decision_runtime_us_per_layer_mean,decision_runtime_us_per_layer_ci_low,decision_runtime_us_per_layer_ci_high,decision_runtime_us_per_layer_median,decision_runtime_s_mean,decision_runtime_s_ci_low,decision_runtime_s_ci_high,decision_runtime_s_median
supervised_rf,30,300,0.6670698322402192,0.6375368192451812,0.6966028452352572,0.5592429687963753,26440.087498110843,22062.02717629505,30818.147819926635,11172.585405094647,94.10902717592205,89.13059808597609,99.08745626586801,85.14046887325017,227.37267998480237,210.02020626167558,244.72515370792917,186.795735389606,1.1766666666666667,1.101853630616305,1.2514797027170286,1.0,22.277611827424515,17.803884632019784,26.751339022829246,2.9009128131566655,5986.673555026452,5878.079270221702,6095.267839831202,5811.99376611039,0.17960020665079354,0.17634237810665104,0.18285803519493604,0.17435981298331166
tabular_q_pooled,5,300,0.40716249150796907,0.39984888969359783,0.4144760933223403,0.39951863958815403,1611.0940507263008,1548.1382728755557,1674.049828577046,1534.3907749713153,81.41495654147933,76.52250278545905,86.3074102974996,73.96649106377345,7.7678754105624135,7.49694828203004,8.038802539094787,7.615125358421372,0.0,0.0,0.0,0.0,1.1257264137129164,0.6787260955062555,1.5727267319195772,0.0,18.793530218924086,18.09569454213304,19.491365895715134,16.545795369893312,9.396765109461312e-05,9.047847271065931e-05,9.745682947856694e-05,8.272897684946656e-05
tabular_q_pooled,10,300,0.48008132147495475,0.4752138160795568,0.4849488268703527,0.47788427141452566,2309.924618559963,2227.836669562011,2392.012567557915,2271.0476448867985,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,5.662646969713072,4.916068306253272,6.4092256331728725,3.353547605052956,16.67100885727753,16.38234650339192,16.959671211163144,15.581375919282436,0.00016671008857272563,0.00016382346503386933,0.00016959671211158194,0.00015581375919275
tabular_q_pooled,20,300,0.8775908548298368,0.8069807340199373,0.9482009756397363,0.690265789659806,21716.15039061009,17693.230516933552,25739.07026428663,10900.007351996672,334.619253498619,322.78770364423286,346.45080335300514,329.3100701162598,87.81648060007058,83.0854701421131,92.54749105802806,80.43794676568038,8.6,8.451321444749624,8.748678555250375,9.0,73.54151700874422,59.549562533949135,87.5334714835393,36.66934492643206,15.041743637993932,14.848735157511703,15.23475211847616,14.77804617024958,0.00030083487275982766,0.00029697470315018275,0.0003046950423694726,0.00029556092340495
tabular_q_pooled,30,300,2.2791053212916768,2.0818643916471586,2.476346250936195,1.7013374922440874,181226.45006903788,155822.1234894385,206630.77664863726,87684.28467751798,534.9804786102397,517.6335088408055,552.327448379674,540.1498129813035,192.12399973928015,178.2883154046227,205.9596840739376,158.50031287243243,15.883333333333333,15.667105861405163,16.099560805261504,16.0,317.8678291167592,282.5334065991028,353.2022516344156,213.16205278729927,15.58942505572405,15.420665806194572,15.758184305253527,15.043067590643961,0.0004676827516716707,0.00046261997418578656,0.0004727455291575548,0.00045129202771925
dqn,5,300,0.40277553618992373,0.39635246724280637,0.4091986051370411,0.39951863958815403,1423.9209971124699,1365.3807339807177,1482.461260244222,1353.145391456248,84.43950496804915,79.63610701158441,89.24290292451388,77.61641521067679,8.551766251292618,8.159219060971406,8.94431344161383,8.034759132732113,0.10666666666666667,0.07153529468212216,0.14179803865121118,0.0,0.19074226937145597,0.10797493359519701,0.27350960514771494,0.0,42.70521396150192,32.87748973459519,52.53293818840865,34.22099398449063,0.000213526069807458,0.00016438744867292417,0.00026266469094199184,0.00017110496992239998
dqn,10,300,0.4564268806278253,0.4508327767480734,0.4620209845075772,0.4568973674782698,2562.4382844902866,2457.251229547624,2667.625339432949,2555.382682064602,90.92008933902021,85.87062751087953,95.96955116716089,83.54196293291415,25.453811468153418,24.13974973905223,26.767873197254605,23.262743480066106,0.6433333333333333,0.5631713748196595,0.7234952918470071,1.0,0.07143800341792807,0.043598531427764965,0.09927747540809118,0.0,36.19482717476785,34.88945105144037,37.500203298095336,33.254100708290935,0.0003619482717476287,0.000348894510514354,0.0003750020329809034,0.00033254100708285
dqn,20,300,0.5077407436818127,0.5030606544884403,0.512420832875185,0.5105199506056171,5283.977958544876,5002.405858723755,5565.550058365997,4900.929961690709,105.50640036970613,100.54581576071828,110.46698497869397,101.47453507741126,97.27900079750667,91.62470228547026,102.93329930954307,89.61663341958302,1.82,1.6991486481650278,1.9408513518349724,2.0,0.43162008194882373,0.3400365430873751,0.5232036208102724,0.0597869740652216,34.112975505801536,33.671001471984226,34.554949539618846,32.71667810622603,0.0006822595101159827,0.0006734200294396367,0.0006910989907923287,0.0006543335621244999
dqn,30,300,0.5419327926098257,0.5366584822935108,0.5472071029261407,0.5434824551017687,10048.73335183795,9382.063412147061,10715.403291528837,8789.605584504458,125.69905306354994,119.62818445080626,131.76992167629362,117.13758146785206,245.0691174537722,225.52100223206708,264.61723267547734,194.32055104608605,2.74,2.5610493226364013,2.918950677363599,2.0,0.7224747501102439,0.5746032614256247,0.8703462387948631,0.1388841337704702,33.708742392870285,32.832074653634606,34.58541013210596,32.57014517051478,0.001011262271786058,0.0009849622396089874,0.0010375623039631287,0.0009771043551153999
dqn_mixed,5,300,0.40270933675056236,0.3962824199171515,0.4091362535839732,0.3994547397793337,1475.2962778137232,1419.700401383642,1530.8921542438045,1436.2373511251935,83.68179180142863,78.83214468671196,88.5314389161453,76.4083212333168,8.30593523434479,7.935341613878021,8.676528854811561,7.760870201570419,0.07,0.04096214893349954,0.09903785106650048,0.0,0.17351356752634603,0.09177278843117512,0.2552543466215169,0.0,36.63049560661117,35.68671934304917,37.57427187017317,33.67087338119745,0.00018315247803300634,0.00017843359671519627,0.0001878713593508164,0.00016835436690595
dqn_mixed,10,300,0.458861633989664,0.45314919484689065,0.46457407313243737,0.4590421670604744,2662.3607034001902,2562.0775954705014,2762.643811329879,2598.404409776269,97.53512377609462,92.25101970068668,102.81922785150256,89.98204813193149,25.04731853579162,23.770368379131867,26.324268692451376,22.85193573288199,0.9133333333333333,0.8086654299769547,1.018001236689712,1.0,0.5910574577602586,0.468032858027011,0.7140820574935063,0.01925313560108645,34.88011262379587,34.41296441585575,35.34726083173599,33.13331981189549,0.0003488011262379073,0.00034412964415850603,0.0003534726083173086,0.00033133319811890004
dqn_mixed,20,300,0.5109008616568318,0.5062204103619063,0.5155813129517572,0.5140649141090721,4867.5146667392455,4614.570055677923,5120.459277800568,4352.840379968675,136.28876635802598,129.79339004972374,142.78414266632822,129.1930672424051,100.59741610144256,94.58923626114482,106.6055959417403,91.7995665672413,2.6266666666666665,2.446457795101193,2.80687553823214,2.0,1.0684820230062013,0.9092341611529355,1.227729884859467,0.5749262963839687,34.22470062893505,32.999627217872984,35.44977403999711,32.06045657861978,0.0006844940125786536,0.0006599925443574121,0.0007089954807998951,0.00064120913157235
dqn_mixed,30,300,0.5506993404006877,0.5442935240779307,0.5571051567234446,0.5479682361505345,10088.159429471465,9013.133172096184,11163.185686846746,7367.835102726989,203.8114206215411,193.37274535445192,214.25009588863026,192.85494603983437,248.26851500681718,229.8390426859889,266.6979873276455,205.9295469636945,5.08,4.724811085693372,5.435188914306628,4.0,2.256696575386396,1.9056703026916444,2.607722848081148,1.3520362635426681,32.8479538568192,32.68974693658467,33.006160777053736,32.333368047450975,0.0009854386157045233,0.000980692408097487,0.0009901848233115596,0.0009700010414235
